                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.1075,                0.68947,                 1.2991,                0.86471,                0.80645,                0.84523,                0.47536,                 1.5388,                0.82522,                 1.7649,              0.0011552,              0.0011552,              0.0011552
                     66,                 1.1717,                0.69389,                 1.3376,                0.86312,                0.77419,                0.77379,                0.43659,                 1.5242,                0.93918,                 1.7504,               0.001142,               0.001142,               0.001142
                     67,                 1.1598,                0.70629,                 1.3679,                0.86581,                0.76315,                0.79153,                0.41888,                 1.5615,                0.94331,                 1.7617,              0.0011288,              0.0011288,              0.0011288
                     68,                 1.1215,                0.65117,                 1.3163,                0.82089,                 0.7957,                0.81652,                0.48163,                 1.4587,                0.89939,                 1.6724,              0.0011156,              0.0011156,              0.0011156
                     69,                 1.1557,                0.67666,                 1.3559,                0.81044,                0.78152,                 0.8058,                0.46882,                 1.5032,                0.90303,                 1.6974,              0.0011024,              0.0011024,              0.0011024
                     70,                 1.1283,                0.67167,                 1.3245,                0.82189,                0.82796,                 0.8392,                0.47838,                 1.4987,                0.82822,                 1.7132,              0.0010892,              0.0010892,              0.0010892
                     71,                 1.1618,                 0.6869,                 1.3646,                0.87987,                0.82796,                0.84358,                0.46909,                 1.4674,                 0.8356,                 1.7018,               0.001076,               0.001076,               0.001076
                     72,                 1.1199,                0.67838,                 1.3243,                0.83351,                 0.8172,                 0.8372,                0.46331,                  1.477,                0.83564,                 1.6818,              0.0010628,              0.0010628,              0.0010628
                     73,                 1.1384,                0.65029,                 1.2789,                0.87603,                0.80645,                0.84605,                0.49107,                 1.4549,                 0.7846,                 1.6522,              0.0010496,              0.0010496,              0.0010496
                     74,                 1.1225,                0.64205,                 1.3025,                0.87314,                0.83871,                0.86953,                0.48101,                 1.5045,                0.77346,                 1.7068,              0.0010364,              0.0010364,              0.0010364
                     75,                 1.1282,                0.67173,                 1.3237,                0.89287,                 0.7957,                0.87651,                0.50716,                 1.4532,                0.78686,                 1.6622,              0.0010232,              0.0010232,              0.0010232
                     76,                 1.1016,                0.65319,                 1.2899,                0.81769,                 0.8172,                0.84957,                0.50296,                 1.4286,                0.81318,                  1.655,                0.00101,                0.00101,                0.00101
                     77,                 1.1111,                0.64076,                 1.3009,                0.85901,                0.83871,                0.85165,                0.48839,                 1.4598,                 0.7727,                 1.6773,              0.0009968,              0.0009968,              0.0009968
                     78,                 1.0809,                0.62926,                   1.29,                0.85041,                0.82796,                0.84457,                0.47969,                 1.4707,                0.81974,                 1.6787,              0.0009836,              0.0009836,              0.0009836
                     79,                 1.0688,                0.64462,                 1.2774,                 0.8486,                 0.7835,                0.81394,                0.46095,                 1.5183,                0.87065,                 1.6875,              0.0009704,              0.0009704,              0.0009704
                     80,                 1.0925,                0.62175,                 1.2813,                0.85897,                 0.8172,                0.85577,                0.49948,                 1.4725,                0.76341,                 1.6449,              0.0009572,              0.0009572,              0.0009572
                     81,                  1.069,                0.59927,                 1.2749,                0.85362,                0.82796,                0.82458,                0.49049,                 1.4393,                 0.7568,                 1.6652,               0.000944,               0.000944,               0.000944
                     82,                  1.039,                0.61393,                 1.2779,                0.81935,                 0.8172,                0.81912,                0.48112,                 1.4309,                0.81617,                 1.6442,              0.0009308,              0.0009308,              0.0009308
                     83,                 1.0683,                0.61603,                 1.2886,                0.88961,                0.78495,                0.83013,                0.48519,                 1.4267,                0.78102,                 1.6335,              0.0009176,              0.0009176,              0.0009176
                     84,                 1.0682,                0.61487,                 1.2791,                0.84507,                0.80645,                0.80925,                0.47148,                  1.466,                0.80174,                 1.6803,              0.0009044,              0.0009044,              0.0009044
                     85,                 1.0475,                0.60209,                 1.2819,                0.83046,                0.78495,                0.81508,                0.49487,                 1.4307,                0.85131,                 1.6363,              0.0008912,              0.0008912,              0.0008912
                     86,                 1.0392,                0.56748,                 1.2726,                0.88757,                0.83871,                0.86763,                0.48791,                 1.4473,                0.83555,                 1.6933,               0.000878,               0.000878,               0.000878
                     87,                 1.0533,                0.56988,                 1.2554,                0.88673,                 0.7957,                0.85533,                0.50458,                 1.4674,                0.81014,                 1.6801,              0.0008648,              0.0008648,              0.0008648
                     88,                  1.019,                0.59614,                 1.2479,                0.87036,                0.80645,                 0.8482,                0.49294,                 1.5125,                0.79227,                 1.7069,              0.0008516,              0.0008516,              0.0008516
                     89,                 0.9906,                0.56813,                 1.2048,                0.81936,                0.82916,                0.82693,                 0.4846,                 1.4897,                0.77049,                 1.7119,              0.0008384,              0.0008384,              0.0008384
                     90,                 1.0336,                0.56627,                 1.2713,                0.86131,                0.82796,                0.87454,                0.51414,                 1.4807,                0.74465,                 1.7058,              0.0008252,              0.0008252,              0.0008252
                     91,                 1.0386,                0.57399,                 1.2648,                0.87006,                0.87097,                0.91094,                0.49995,                 1.5337,                0.78124,                 1.6862,               0.000812,               0.000812,               0.000812
                     92,                0.99272,                0.54792,                 1.2481,                0.86576,                0.84946,                0.85702,                0.49998,                 1.4666,                0.76308,                 1.6613,              0.0007988,              0.0007988,              0.0007988
                     93,                 1.0024,                 0.5521,                 1.2557,                0.88068,                 0.8172,                0.84703,                0.49086,                 1.4501,                 0.7553,                 1.6459,              0.0007856,              0.0007856,              0.0007856
                     94,                0.99991,                0.56857,                 1.2397,                0.88319,                 0.8172,                0.85935,                0.48894,                 1.4726,                 0.7374,                 1.6501,              0.0007724,              0.0007724,              0.0007724
                     95,                0.98886,                0.54521,                 1.2218,                0.84335,                 0.8172,                 0.8454,                 0.4936,                 1.4266,                0.75453,                  1.644,              0.0007592,              0.0007592,              0.0007592
                     96,                0.98298,                0.55807,                 1.2216,                0.87489,                0.82796,                0.83385,                0.48217,                 1.4711,                0.76221,                  1.643,               0.000746,               0.000746,               0.000746
                     97,                0.99498,                0.54837,                 1.2291,                0.90838,                0.82796,                0.86317,                0.49246,                 1.4657,                0.75199,                 1.6309,              0.0007328,              0.0007328,              0.0007328
                     98,                0.94401,                0.53012,                 1.1989,                0.87355,                0.81712,                0.85557,                0.49681,                 1.4413,                0.76261,                 1.6565,              0.0007196,              0.0007196,              0.0007196
                     99,                0.93808,                0.52136,                 1.1707,                 0.8856,                0.83246,                 0.8764,                0.50626,                 1.4337,                0.76741,                 1.6459,              0.0007064,              0.0007064,              0.0007064
                    100,                0.93825,                0.52542,                 1.1845,                0.85395,                0.78495,                0.83173,                  0.494,                 1.4738,                0.82818,                 1.6962,              0.0006932,              0.0006932,              0.0006932
                    101,                 0.9665,                0.55987,                 1.2127,                0.88016,                0.82796,                0.85971,                0.49831,                 1.4568,                0.74729,                 1.6986,                0.00068,                0.00068,                0.00068
                    102,                0.94223,                0.53432,                 1.1814,                0.89346,                0.84946,                0.83307,                0.48165,                 1.4715,                0.79829,                 1.6765,              0.0006668,              0.0006668,              0.0006668
                    103,                0.89871,                0.50516,                 1.1871,                0.86018,                0.82796,                 0.8554,                0.52219,                 1.4164,                0.73069,                 1.6625,              0.0006536,              0.0006536,              0.0006536
                    104,                0.90631,                0.50725,                 1.1741,                 0.8371,                0.83871,                0.82929,                0.48942,                 1.4553,                0.77646,                 1.6929,              0.0006404,              0.0006404,              0.0006404
                    105,                0.89376,                0.51021,                 1.1724,                0.81728,                 0.8172,                0.83037,                0.48822,                 1.4425,                0.83752,                 1.6479,              0.0006272,              0.0006272,              0.0006272
                    106,                0.88504,                0.49521,                 1.1369,                0.86164,                0.80355,                0.85776,                0.51257,                 1.4425,                0.78929,                 1.6666,               0.000614,               0.000614,               0.000614
                    107,                 0.9178,                0.51273,                 1.2303,                0.89795,                 0.8172,                0.88398,                0.50947,                 1.4767,                0.76459,                 1.6925,              0.0006008,              0.0006008,              0.0006008
                    108,                0.90776,                0.51214,                 1.1579,                0.89179,                0.82796,                0.86078,                0.50648,                 1.4304,                0.75071,                 1.6452,              0.0005876,              0.0005876,              0.0005876
                    109,                0.92061,                0.51477,                 1.2241,                0.88349,                0.81537,                0.84914,                0.51042,                 1.4157,                0.72755,                 1.6217,              0.0005744,              0.0005744,              0.0005744
                    110,                0.89573,                0.49258,                 1.2072,                0.88581,                0.83871,                0.86916,                0.51161,                 1.4356,                 0.7342,                  1.625,              0.0005612,              0.0005612,              0.0005612
                    111,                0.87999,                0.50176,                 1.1715,                0.82289,                0.86022,                0.86327,                0.52493,                 1.3953,                0.73406,                 1.6127,               0.000548,               0.000548,               0.000548
                    112,                0.88649,                0.47051,                 1.1535,                0.86881,                0.82796,                0.85609,                0.51464,                 1.3978,                0.73101,                 1.6202,              0.0005348,              0.0005348,              0.0005348
                    113,                0.89048,                0.51822,                 1.1802,                0.88501,                0.82796,                0.86241,                0.51033,                 1.4414,                0.70755,                 1.6546,              0.0005216,              0.0005216,              0.0005216
                    114,                0.89121,                0.49174,                 1.1762,                0.87083,                 0.8172,                0.84754,                 0.5159,                 1.4007,                0.72492,                 1.6531,              0.0005084,              0.0005084,              0.0005084
                    115,                0.87798,                0.48009,                 1.1535,                0.87152,                0.80237,                0.82975,                0.52211,                 1.4485,                0.74816,                 1.6946,              0.0004952,              0.0004952,              0.0004952
                    116,                0.87908,                0.49348,                 1.1827,                0.85213,                 0.8172,                0.82829,                0.50842,                 1.4807,                0.77154,                   1.68,               0.000482,               0.000482,               0.000482
                    117,                0.90313,                 0.5217,                  1.185,                0.85895,                0.82796,                0.84021,                0.50881,                 1.4534,                0.77569,                 1.6534,              0.0004688,              0.0004688,              0.0004688
                    118,                 0.8393,                0.47754,                 1.1761,                0.88596,                0.83538,                0.83929,                0.49837,                 1.4441,                0.79352,                 1.6541,              0.0004556,              0.0004556,              0.0004556
                    119,                0.83318,                0.49428,                  1.156,                0.88091,                0.79537,                0.82836,                0.49752,                 1.4405,                0.76899,                 1.6629,              0.0004424,              0.0004424,              0.0004424
                    120,                0.83732,                0.47519,                 1.1262,                0.86322,                0.80645,                0.82664,                0.50639,                 1.4491,                0.74083,                 1.6575,              0.0004292,              0.0004292,              0.0004292
                    121,                0.83867,                0.46316,                 1.1267,                0.89175,                0.79721,                0.83298,                0.50584,                 1.4403,                0.77691,                 1.6671,               0.000416,               0.000416,               0.000416
                    122,                0.87497,                0.48286,                 1.1805,                0.89986,                0.80645,                0.84344,                0.51628,                 1.4595,                0.76399,                 1.6843,              0.0004028,              0.0004028,              0.0004028
                    123,                0.81177,                0.46451,                 1.1389,                0.88885,                0.80645,                0.84614,                0.50874,                 1.4767,                0.75082,                 1.7117,              0.0003896,              0.0003896,              0.0003896
                    124,                0.84605,                0.46523,                 1.1665,                0.91306,                0.83871,                0.87368,                0.51225,                 1.4558,                0.72523,                 1.6718,              0.0003764,              0.0003764,              0.0003764
                    125,                0.81024,                0.43584,                 1.1111,                0.86489,                0.83871,                0.84085,                0.49569,                 1.4629,                0.72134,                  1.671,              0.0003632,              0.0003632,              0.0003632
